Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,48.500000,54.000000,48.099998,53.099998,53.099998,7707100
2009-06-01,53.520000,54.849998,48.790001,51.400002,51.400002,6319900
2009-07-01,51.570000,54.779999,48.029999,54.500000,54.500000,7773900
2009-08-01,54.849998,58.250000,54.540001,56.250000,56.250000,6605000
2009-09-01,56.389999,61.689999,54.919998,61.509998,61.509998,8206900
2009-10-01,60.970001,67.269997,59.230000,61.500000,61.500000,6892600
2009-11-01,60.450001,67.580002,60.270000,66.900002,66.900002,4331900
2009-12-01,67.620003,69.989998,65.610001,68.500000,68.500000,4137900
2010-01-01,68.550003,70.459999,63.900002,64.900002,64.900002,5533900
2010-02-01,65.400002,67.599998,60.759998,66.500000,66.500000,5719000
2010-03-01,66.419998,70.050003,66.250000,70.000000,70.000000,5842400
2010-04-01,70.019997,71.300003,65.410004,66.919998,66.919998,7210700
2010-05-01,66.919998,67.269997,57.000000,62.419998,62.419998,7795100
2010-06-01,61.590000,65.169998,60.299999,60.369999,60.369999,6288000
2010-07-01,60.720001,66.989998,59.490002,66.870003,66.870003,7136400
2010-08-01,68.849998,68.849998,63.290001,64.500000,64.500000,7720650
2010-09-01,64.699997,69.099998,64.699997,68.699997,68.699997,8192760
2010-10-01,69.000000,71.349998,68.220001,70.199997,70.199997,7994840
2010-11-01,70.400002,72.400002,66.400002,67.000000,67.000000,8247240
2010-12-01,67.970001,69.820000,66.199997,68.529999,68.529999,8050720
2011-01-01,69.000000,71.099998,65.139999,65.779999,65.779999,8283560
2011-02-01,66.879997,67.589996,63.240002,66.750000,66.750000,11827390
2011-03-01,66.800003,67.809998,64.110001,67.550003,67.550003,10667640
2011-04-01,68.000000,69.269997,64.000000,65.199997,65.199997,12213730
2011-05-01,65.500000,65.500000,60.880001,63.810001,63.810001,8270060
2011-06-01,63.580002,64.150002,59.770000,61.490002,61.490002,8752890
2011-07-01,61.660000,63.000000,57.169998,58.180000,58.180000,9645300
2011-08-01,58.500000,58.810001,47.110001,55.750000,55.750000,25490930
2011-09-01,56.779999,57.840000,51.250000,51.599998,51.599998,21814340
2011-10-01,51.150002,59.090000,48.750000,57.570000,57.570000,24451590
2011-11-01,55.680000,58.799999,53.810001,56.180000,56.180000,24394700
2011-12-01,57.099998,58.730000,54.500000,55.980000,55.980000,20352840
2012-01-01,56.509998,62.820000,55.770000,62.169998,62.169998,21030630
2012-02-01,62.700001,65.709999,62.700001,64.739998,64.739998,31172010
2012-03-01,65.139999,67.930000,62.900002,63.540001,63.540001,37112930
2012-04-01,63.040001,64.580002,60.009998,60.900002,60.900002,41341120
2012-05-01,60.660000,62.900002,52.180000,53.599998,53.599998,69823310
2012-06-01,52.320000,56.860001,51.450001,53.419998,53.419998,51217920
2012-07-01,53.389999,56.560001,51.310001,55.099998,55.099998,31677710
2012-08-01,56.169998,59.230000,54.290001,56.150002,56.150002,39948290
2012-09-01,56.400002,62.320000,55.169998,58.150002,58.150002,31503880
2012-10-01,58.250000,59.900002,55.500000,56.040001,56.040001,34206990
2012-11-01,56.490002,58.459999,54.080002,56.500000,56.500000,29641810
2012-12-01,56.889999,60.299999,56.029999,59.689999,59.689999,35114910
2013-01-01,60.810001,62.209999,57.980000,58.689999,58.689999,28841160
2013-02-01,58.689999,59.360001,54.320000,56.139999,56.139999,29817760
2013-03-01,55.630001,58.799999,53.599998,55.099998,55.099998,33421610
2013-04-01,54.900002,55.889999,51.349998,54.450001,54.450001,39881220
2013-05-01,54.200001,55.939999,51.869999,52.450001,52.450001,33134000
2013-06-01,52.520000,53.160000,44.529999,46.500000,46.500000,58019780
2013-07-01,46.500000,48.689999,43.230000,47.320000,47.320000,45340790
2013-08-01,47.910000,51.490002,46.230000,49.500000,49.500000,53131350
2013-09-01,50.820000,54.740002,49.919998,51.290001,51.290001,33026390
2013-10-01,51.330002,55.500000,50.750000,52.700001,52.700001,31104140
2013-11-01,53.189999,53.320000,50.070000,51.279999,51.279999,25862480
2013-12-01,50.299999,50.830002,48.700001,50.240002,50.240002,23023720
2014-01-01,50.230000,50.290001,45.639999,46.459999,46.459999,28464640
2014-02-01,46.200001,47.740002,45.009998,46.080002,46.080002,34263840
2014-03-01,46.099998,49.160000,43.770000,49.090000,49.090000,31671250
2014-04-01,49.150002,52.090000,48.590000,50.290001,50.290001,50736910
2014-05-01,50.290001,53.090000,49.980000,49.980000,49.980000,34289240
2014-06-01,50.040001,53.990002,50.000000,51.689999,51.689999,27512310
2014-07-01,52.180000,56.919998,51.279999,54.330002,54.330002,29815110
2014-08-01,54.049999,59.849998,53.669998,59.689999,59.689999,26304290
2014-09-01,60.220001,60.680000,52.090000,52.639999,52.639999,38357450
2014-10-01,51.919998,57.740002,46.709999,52.980000,52.980000,73755240
2014-11-01,52.529999,55.750000,49.099998,53.150002,53.150002,41634200
2014-12-01,52.520000,52.849998,44.130001,48.540001,48.540001,36683320
2015-01-01,48.130001,48.990002,45.220001,45.610001,45.610001,48709390
2015-02-01,46.090000,51.070000,45.459999,50.009998,50.009998,36253780
2015-03-01,49.990002,50.860001,46.380001,49.500000,49.500000,63602610
2015-04-01,50.200001,55.380001,50.080002,54.619999,54.619999,49759610
2015-05-01,55.200001,56.900002,51.279999,51.349998,51.349998,34917550
2015-06-01,51.180000,52.849998,51.060001,51.459999,51.459999,50135520
2015-07-01,51.610001,51.910000,47.169998,49.369999,49.369999,37273470
2015-08-01,48.900002,49.349998,41.330002,45.340000,45.340000,78298410
2015-09-01,44.290001,47.910000,42.500000,43.430000,43.430000,59994080
2015-10-01,43.610001,48.220001,43.400002,44.400002,44.400002,81971080
2015-11-01,45.000000,47.630001,43.700001,43.700001,43.700001,58027750
2015-12-01,44.000000,45.790001,41.880001,42.130001,42.130001,60256570
2016-01-01,41.000000,42.299999,36.009998,39.189999,39.189999,56435180
2016-02-01,39.200001,42.380001,37.520000,41.450001,41.450001,54276760
2016-03-01,42.009998,50.810001,41.869999,48.639999,48.639999,94022170
2016-04-01,48.119999,53.369999,46.500000,52.150002,52.150002,72034560
2016-05-01,52.349998,52.490002,46.849998,47.020000,47.020000,72756780
2016-06-01,47.040001,50.279999,46.599998,49.900002,49.900002,61656770
2016-07-01,50.080002,55.759998,49.290001,55.680000,55.680000,41120380
2016-08-01,55.650002,57.639999,54.049999,55.930000,55.930000,70073200
2016-09-01,56.549999,58.450001,54.720001,56.560001,56.560001,67359380
2016-10-01,56.990002,63.000000,56.540001,62.900002,62.900002,66832180
2016-11-01,63.000000,63.400002,56.480000,60.000000,60.000000,71837260
2016-12-01,59.299999,60.090000,55.009998,58.240002,58.240002,62910160
2017-01-01,57.990002,64.500000,57.500000,62.389999,62.389999,31167260
2017-02-01,63.000000,67.339996,61.709999,64.500000,64.500000,41334240
2017-03-01,65.120003,65.879997,60.509998,62.779999,62.779999,52971750
2017-04-01,62.700001,64.180000,60.790001,63.189999,63.189999,44343250
2017-05-01,63.459999,66.540001,58.000000,60.560001,60.560001,92394760
2017-06-01,60.900002,61.549999,58.570000,60.930000,60.930000,43628330
2017-07-01,61.290001,64.720001,59.980000,63.720001,63.720001,40599950
2017-08-01,64.019997,69.070000,63.799999,68.410004,68.410004,75986610
2017-09-01,68.980003,73.870003,68.980003,71.580002,71.580002,48953270
2017-10-01,71.599998,75.410004,71.330002,71.769997,71.769997,49898440
2017-11-01,72.410004,72.699997,68.459999,69.400002,69.400002,57579070
2017-12-01,68.760002,73.830002,68.760002,73.820000,73.820000,59653830
2018-01-01,74.000000,83.220001,74.000000,82.000000,82.000000,54433150
2018-02-01,82.019997,85.320000,76.959999,82.500000,82.500000,51147150
2018-03-01,83.750000,84.489998,79.500000,82.430000,82.430000,46042320
2018-04-01,82.300003,84.150002,79.940002,83.180000,83.180000,47490390
2018-05-01,82.430000,83.669998,72.690002,74.070000,74.070000,73647270
2018-06-01,74.750000,76.160004,66.639999,70.349998,70.349998,76559760
2018-07-01,69.589996,77.669998,69.389999,76.449997,76.449997,54132110
2018-08-01,76.010002,78.940002,72.080002,74.120003,74.120003,80323340
2018-09-01,73.660004,77.290001,71.629997,76.610001,76.610001,50874680
2018-10-01,76.750000,84.930000,75.330002,84.080002,84.080002,122529420
2018-11-01,84.510002,87.040001,81.019997,86.370003,86.370003,86487600
2018-12-01,88.099998,88.150002,80.900002,84.599998,84.599998,73523860
2019-01-01,84.599998,94.949997,84.349998,94.000000,94.000000,87555380
2019-02-01,94.099998,95.099998,90.080002,93.839996,93.839996,76447980
2019-03-01,91.580002,95.800003,88.099998,91.809998,91.809998,51132930
2019-04-01,92.919998,94.150002,88.940002,92.879997,92.879997,82084940
2019-05-01,92.190002,94.449997,86.120003,93.589996,93.589996,112348300
2019-06-01,94.010002,98.889999,92.199997,97.110001,97.110001,78428240
2019-07-01,98.599998,102.800003,96.230003,97.980003,97.980003,84834140
2019-08-01,98.580002,101.050003,92.260002,97.610001,97.610001,132137450
2019-09-01,97.519997,102.120003,95.669998,101.010002,101.010002,78315470
2019-10-01,101.000000,104.419998,96.099998,103.230003,103.230003,109173210
2019-11-01,103.849998,105.629997,101.309998,104.349998,104.349998,88920690
2019-12-01,104.599998,113.839996,104.099998,111.230003,111.230003,90256990
2020-01-01,112.449997,115.260002,108.660004,108.900002,108.900002,124896270
2020-02-01,109.699997,113.400002,96.260002,100.599998,100.599998,136787380
2020-03-01,100.849998,105.269997,59.099998,69.349998,69.349998,479193110
2020-04-01,67.769997,80.550003,65.300003,77.209999,77.209999,303170210
2020-05-01,75.169998,85.000000,72.849998,84.150002,84.150002,256508880
2020-06-01,83.599998,94.120003,83.480003,91.620003,91.620003,241706300
2020-07-01,91.879997,101.769997,91.879997,99.290001,99.290001,180963890
2020-08-01,99.959999,100.699997,94.820000,95.699997,95.699997,206220380
2020-09-01,96.580002,99.389999,89.900002,91.050003,91.050003,215209770
2020-10-01,91.339996,98.389999,89.910004,90.660004,90.660004,227670600
2020-11-01,92.089996,107.410004,91.470001,105.000000,105.000000,221024272
2020-12-01,106.480003,116.400002,106.150002,115.550003,115.550003,160014303
2021-01-01,115.599998,120.660004,110.529999,110.559998,110.559998,164307454
2021-02-01,112.650002,116.589996,105.589996,105.589996,105.589996,167948761
2021-03-01,107.410004,112.830002,103.160004,112.019997,112.019997,242303043
2021-04-01,112.330002,117.349998,110.559998,114.400002,114.400002,143669271
2021-05-01,115.300003,121.250000,113.160004,121.250000,121.250000,127035234
2021-06-01,122.489998,126.220001,121.330002,121.809998,121.809998,112324813
2021-07-01,122.120003,124.709999,117.099998,117.110001,117.110001,110874050
2021-08-01,118.879997,119.800003,110.000000,114.080002,114.080002,163698750
2021-09-01,114.150002,115.449997,103.440002,106.489998,106.489998,209401781
2021-10-01,107.010002,110.529999,98.879997,99.680000,99.680000,226840029
2021-11-01,100.760002,104.500000,96.320000,98.349998,98.349998,206352316
2021-12-01,99.260002,105.410004,96.910004,100.800003,100.800003,163502111
2022-01-01,101.489998,108.849998,97.099998,107.980003,107.980003,173643229
2022-02-01,108.239998,111.339996,105.099998,108.900002,108.900002,138697503
2022-03-01,110.199997,116.449997,103.839996,115.599998,115.599998,173083820
2022-04-01,116.580002,117.220001,103.400002,103.400002,103.400002,100634565
2022-05-01,103.669998,108.730003,98.629997,107.180000,107.180000,167296251
2022-06-01,107.330002,108.750000,94.260002,95.000000,95.000000,183218703
2022-07-01,94.360001,100.379997,91.900002,99.300003,99.300003,146214726
2022-08-01,99.269997,110.309998,98.110001,105.830002,105.830002,167606152
2022-09-01,106.070000,110.470001,102.430000,106.459999,106.459999,136912431
2022-10-01,110.000000,116.610001,107.669998,112.150002,112.150002,164531046
2022-11-01,113.160004,115.910004,103.529999,108.580002,108.580002,207559272
2022-12-01,107.769997,109.900002,98.300003,105.949997,105.949997,184026455
2023-01-01,104.360001,111.099998,100.349998,109.839996,109.839996,138801077
2023-02-01,109.489998,109.860001,101.150002,101.150002,101.150002,128584934
2023-03-01,101.910004,103.300003,93.809998,98.489998,98.489998,185866757
2023-04-01,98.750000,104.889999,96.709999,100.900002,100.900002,125002700
2023-05-01,100.599998,108.169998,97.760002,104.839996,104.839996,188167564
2023-06-01,105.510002,116.779999,104.860001,114.169998,114.169998,148515243
2023-07-01,114.900002,119.169998,112.040001,117.949997,117.949997,136078673
2023-08-01,117.199997,118.800003,110.580002,112.309998,112.309998,142308760
2023-09-01,112.820000,116.040001,109.889999,113.150002,113.150002,100240633
2023-10-01,112.639999,113.550003,108.190002,109.620003,109.620003,90950547
2023-11-01,110.139999,123.599998,110.139999,123.570000,123.570000,114203380
2023-12-01,123.419998,130.520004,121.720001,130.389999,130.389999,80067494
2024-01-01,129.800003,129.889999,122.169998,123.949997,123.949997,124582288
2024-02-01,124.139999,126.879997,122.680000,124.879997,124.879997,60220638
2024-02-16,124.570000,125.279999,123.849998,124.879997,124.879997,9643814
